name,rating,votes,salary,sectors,location
Thermax Limited,4.2,4.4k,13.6k,Industrial Machinery ,Pune
Jubilant Foods Works,3.7,4.4k,10k,Hospitality ,Noida
Macleods Pharmaceuticals,3.7,4.4k,16.1k,Pharma ,Mumbai
Carelon Global Solutions,3.9,4.3k,29.3k,IT Services & Consulting ,Bengaluru
Aakash Educational Services,3.2,4.3k,14.1k,Education & Training ,New
Jindal Steel Limited,3.9,4.3k,16.5k,Iron & Steel ,Angul
State Street Corporation,3.5,4.3k,34.8k,Financial Services ,Bengaluru
Bajaj Auto,3.8,4.3k,15.1k,Automobile ,Pune
Hindalco Industries,4.2,4.3k,13.4k,Metals & Mining ,Sambalpur
LG Electronics,3.8,4.2k,11.3k,Consumer Electronics & Appliances ,Pune
HDFC ERGO General Insurance,3.9,4.2k,12.3k,Insurance ,Mumbai
Kogta Financial India Limited,4.6,4.2k,2k,NBFC ,Jaipur
DCB Bank,3.8,4.2k,9.9k,Banking ,Mumbai
Royal Enfield,4.2,4.2k,15.3k,Automobile ,Chennai
John Deere,4.0,4.1k,15.9k,Industrial Machinery ,Pune
RBL Bank,3.5,4.1k,19k,Banking ,Mumbai
Tata Communications,3.8,4.1k,23.8k,Telecom ,Pune
Publicis Sapient,3.2,4.1k,33.4k,IT Services & Consulting ,Bengaluru
Cummins,4.3,4.1k,15.8k,Industrial Machinery ,Pune
Cloudnine Hospital,4.5,4.1k,3.2k,Healthcare ,Bengaluru
Alembic Pharmaceuticals,3.9,4k,15.9k,Pharma ,Vadodara
Pidilite Industries,4.2,4k,12.3k,Chemicals ,Mumbai
Bank of America,4.1,4k,30.4k,Banking ,Gurugram
Grasim Industries,4.0,4k,13.5k,Building Material ,Bharuch
Aditya Birla Sun Life Insurance,4.0,4k,10.8k,Insurance ,Mumbai
Oyo Rooms,2.9,4k,13.4k,Hospitality ,Gurugram
PNB MetLife,3.3,4k,8.3k,Insurance ,New
American Express,4.1,4k,26.2k,Financial Services ,Gurugram
Kyndryl,3.9,4k,28.5k,IT Services & Consulting ,Bengaluru
Aditya Birla Capital,3.8,4k,14.8k,NBFC ,Mumbai
Subros,3.7,3.9k,12.8k,Auto Components ,Noida
KPIT Technologies,2.8,3.9k,24.5k,Software Product ,Pune
ADP Private Limited,3.8,3.9k,22.5k,Software Product ,Hyderabad
Escorts Kubota Limited,4.1,3.9k,14.1k,Industrial Machinery ,Faridabad
Maersk,3.9,3.9k,20k,Logistics ,Chennai
Viatris,4.1,3.9k,14.4k,Pharma ,Hyderabad
JK Cement,4.0,3.9k,10.6k,Building Material ,New
XpressBees,4.1,3.9k,8.4k,Logistics ,Pune
PVR INOX,3.9,3.9k,9.7k,Media & Entertainment ,New
Altruist Technologies,4.3,3.9k,8.4k,BPO ,Bengaluru
Birlasoft,3.4,3.9k,29.7k,IT Services & Consulting ,Pune
PhonePe,4.0,3.9k,14.4k,FinTech ,Bengaluru
Blinkit,3.8,3.8k,14.7k,Internet ,Gurugram
Synechron,3.4,3.8k,29.4k,IT Services & Consulting ,Pune
Reliance Communications,3.9,3.8k,9.3k,Telecom ,Mumbai
Glenmark Pharmaceuticals,3.8,3.8k,12.3k,Pharma ,Mumbai
Kotak Mahindra Life Insurance Company,3.5,3.8k,13.2k,Insurance ,Mumbai
Bharat Electronics,4.2,3.8k,12.9k,Electronics Manufacturing ,Bengaluru
Dabur,3.8,3.8k,9.1k,FMCG ,New
Sodexo,4.0,3.8k,10.2k,Hospitality ,Mumbai
Cogent E Services,3.1,3.8k,10.6k,BPO ,Noida
UNO Minda,3.9,3.7k,11.9k,Auto Components ,Pune
ArcelorMittal Nippon Steel India,4.1,3.7k,13.2k,Iron & Steel ,Surat
Godrej & Boyce Manufacturing,3.8,3.7k,15.3k,Consumer Electronics & Appliances ,Mumbai
Ipca Laboratories,3.8,3.7k,11.7k,Pharma ,Mumbai
Abbott,4.1,3.7k,12.2k,Pharma ,Mumbai
Aarti Industries,4.1,3.7k,14.7k,Agro Chemicals ,Bharuch
Samvardhana Motherson Group,3.7,3.7k,12k,Auto Components ,Noida
Reliance Projects & Property Management Services,4.0,3.7k,7.6k,Other ,Kolkata
Reliance Digital,4.1,3.7k,8.5k,Retail ,Mumbai
IGT Solutions,3.2,3.7k,13.8k,BPO ,New
MRF Tyres,3.6,3.6k,13.4k,Auto Components ,Chennai
Indian Oil Corporation,4.3,3.6k,8k,Oil & Gas ,New
"NTT DATA, Inc.",3.9,3.6k,21k,IT Services & Consulting ,Bengaluru
Alkem Laboratories,3.9,3.6k,10.2k,Pharma ,Mumbai
Johnson Controls,3.5,3.6k,18k,Industrial Automation ,Pune
Honda Motorcycle & Scooter,4.1,3.6k,11.3k,Automobile ,Gurugram
[24]7.ai,3.4,3.6k,11.7k,Hospitality ,Bengaluru
Vishal Mega Mart,3.7,3.5k,6.3k,Retail ,New
Barclays,3.7,3.5k,34.8k,Banking ,Pune
Hindustan Coca Cola Beverages,4.0,3.5k,8k,Beverage ,Bengaluru
Bajaj General Insurance Limited,3.6,3.5k,11.2k,Insurance ,Pune
DTDC Express,3.7,3.5k,9k,Logistics ,New
